id,clave,name,nacionalidad,designador_iata,linea_ferrea,clavetransporte_id/id
cfd_mx_traslado.cartaporte_estaciones_EA092,EA092,Pudong,China,PVG,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA093,EA093,Gaoqi,China,XMN,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA094,EA094,Gustavo Rojas Pinilla,Colombia,ADZ,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA095,EA095,Ernesto Cortissoz,Colombia,BAQ,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA096,EA096,El Nuevo Dorado,Colombia,BOG,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA097,EA097,Alfonso Bonilla Aragón,Colombia,CLO,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA098,EA098,Rafael Nuñez,Colombia,CTG,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA099,EA099,Jose Maria Córdova,Colombia,MDE,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA100,EA100,Montelibano,Colombia,MTB,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA101,EA101,Daniel Oduber Quiros,Costa Rica,LIR,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA102,EA102,Juan Santamaría,Costa Rica,SJO,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA103,EA103,Jardines Del Rey,Cuba,CCC,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA104,EA104,Ignacio Agramonte,Cuba,CMW,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA105,EA105,Vilo Acuña,Cuba,CYO,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA106,EA106,Jose Martí,Cuba,HAV,,cartaporte_clavetransporte_03
cfd_mx_traslado.cartaporte_estaciones_EA107,EA107,Frank País,Cuba,HOG,,cartaporte_clavetransporte_03
